A16.3||Tuberkuloza vnutrohrudnikovych lymfatickych uzlin, bez udaja o potvrdeni bakteriologickym, molekulovobiologickym alebo histologickym vysetrenim|
A16.4||Tuberkuloza hrtana, priedusnice a priedusiek bez udaja o potvrdeni bakteriologickym, molekulovobiologickym alebo histologickym vysetrenim|
A16.5||Tuberkulozna pleuritida, bez udaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdeni|
A16.7||Primarna tuberkuloza dychacieho ustrojenstva, bez udaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdeni|
A16.8||Ina tuberkuloza dychacieho ustrojenstva, bez udaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdeni|
A16.9||Tuberkuloza dychacieho ustrojenstva, blizsie neurcena, bez udaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdeni|
A17.0||Tuberkulozna meningitida (G01*)|
A17.1||Meningovy tuberkulom (G07*)|
A17.8||Ina tuberkuloza nervovej sustavy|
A17.9||Blizsie neurcena tuberkuloza nervovej sustavy|
A18.0||Tuberkuloza kosti a klbov|
A18.1||Tuberkuloza mocovopohlavnej sustavy|
A18.2||Tuberkulozna periferna lymfadenopatia|
A18.3||Tuberkuloza criev, peritonea a mezenteriovych lymfatickych uzlin|
A18.4||Tuberkuloza koze a podkozneho tkaniva|
A18.5||Tuberkuloza oka|
A18.6||Tuberkuloza ucha|
A18.7||Tuberkuloza nadobliciek (E35.1*)|
A18.8||Tuberkuloza inych blizsie urcenych organov|
A19.0||Akutna miliarna tuberkuloza na jedinom blizsie urcenom mieste|
A19.1||Akutna miliarna tuberkuloza na viacerych miestach|
A19.2||Blizsie neurcena akutna miliarna tuberkuloza|
A19.8||Ina miliarna tuberkuloza|
A19.9||Blizsie neurcena miliarna tuberkuloza|
A20.0||Bubonicky mor|
A20.1||Kozna forma moru|
A20.2||Plucna forma moru|
A20.3||Morova meningitida|
A20.7||Septikemicka forma moru|
A20.8||Ina forma moru|
A20.9||Blizsie neurceny mor|
A21.0||Ulceroglandularna tularemia|
A21.1||Okuloglandularna tularemia|
A21.2||Plucna tularemia|
A21.3||Gastrointestinalna tularemia|
A21.7||Generalizovana tularemia|
A21.8||Ina forma tularemie|
A21.9||Blizsie neurcena tularemia|
A22.0||Kozny antrax|
A22.1||Plucny antrax|
A22.2||Gastrointestinalny antrax|
A22.7||Antraxova sepsa|
A22.8||Ina forma antraxu|
A22.9||Blizsie neurceny antrax|
A23.0||Bruceloza, zapricinena brucella melitensis|
A23.1||Bruceloza, zapricinena brucella abortus|
A23.2||Bruceloza, zapricinena brucella suis|
A23.3||Bruceloza, zapricinena brucella canis|
A23.8||Ina bruceloza|
A23.9||Blizsie neurcena bruceloza|
A24.0||Soplavka (malleus)|
A24.1||Akutna alebo fulminantna melioidoza|
A24.2||Subakutna a chronicka melioidoza|
A24.3||Ina melioidoza|
A24.4||Melioidoza, blizsie neurcena|
A25.0||Spiriloza|
A25.1||Streptobaciloza|
A25.9||Blizsie neurcena horucka po uhryznuti potkanom|
A26.0||Kozny eryzipeloid|
A26.7||Eryzipelotrixova sepsa|
A26.8||Ina forma eryzipeloidu|
A26.9||Blizsie neurceny eryzipeloid|
A27.0||Leptospiroza, zapricinena leptospira icterohaemorrhagiae (Weilova choroba)|
A27.8||Ina forma leptospirozy|
A27.9||Blizsie neurcena leptospiroza|
A28.0||Pasteureloza|
A28.1||Choroba z macacieho skrabnutia|
A28.2||Extraintestinalna yersinioza|
A28.8||Ina blizie neurcena bakteriova zoonoza, nezatriedena inde|
A28.9||Blizsie neurcena bakteriova zoonoza|
A30.0||Neurcena (indeterminate) lepra|
A30.1||Tuberkuloidna lepra|
A30.2||Hranicna (borderline) tuberkuloidna lepra|
A30.3||Hranicna (borderline) lepra|
A30.4||Hranicna (borderline) lepromatozna lepra|
A30.5||Lepromatozna lepra|
A30.8||Ina forma lepry|
A30.9||Blizsie neurcena lepra|
A31.0||Plucna mykobakterioza|
A31.1||Kozna mykobakterioza|
A31.80||Diseminovana atypicka mykobakterioza|
A31.88||Ina infekcia, sposobena mykobakteriou|
A31.9||Blizsie neurcena mykobakterioza|
A32.0||Kozna listerioza|
A32.1||Listeriova meningitida a meningoencefalitida|
A32.7||Listeriova sepsa|
A32.8||Ina forma listeriozy|
A32.9||Blizsie neurcena listerioza|
A33||Tetanus novorodencov|
A34||Tetanus pocas gravidity, porodu a v sestonedeli|
A35||Iny tetanus|
A36.0||Hltanova difteria|
A36.1||Nosohltanova difteria|
A36.2||Hrtanova difteria (zaskrt)|
A36.3||Kozna difteria|
A36.8||Ina difteria|
A36.9||Blizsie neurcena difteria|
A37.0||Pertussis, zapricineny bordetella pertussis|
A37.1||Pertussis, zapricineny bordetella parapertussis|
A37.8||Pertussis, zapricineny inym druhom bordetely|
A37.9||Blizsie neurceny pertussis|
A38||Sarlach (scarlatina)|
A39.0||Meningokokova meningitida (G01*)|
A39.1||Waterhouseov-Friderichsenov syndrom (E35.1*)|
A39.2||Akutna meningokokova sepsa|
A39.3||Chronicka meningokokova sepsa|
A39.4||Blizsie neurcena meningokokova sepsa|
A39.5||Meningokokova choroba srdca|
A39.8||Ina meningokokova infekcia|
A39.9||Meningokokova infekcia, blizsie neurcena|
A40.0||Sepsa, zapricinena streptokokom zo skupiny A|
A40.1||Sepsa, zapricinena streptokokom zo skupiny B|
A40.2||Sepsa, zapricinena streptokokom zo skupiny D|
A40.3||Sepsa, zapricinena streptococcus pneumoniae|
A40.8||Ina streptokokova sepsa|
A40.9||Blizsie neurcena streptokokova sepsa|
A41.0||Sepsa, zapricinena staphylococcus aureus|
A41.1||Sepsa, zapricinena inym blizsie urcenym stafylokokom|
A41.2||Sepsa, zapricinena blizsie neurcenym stafylokokom|
A41.3||Sepsa, zapricinena haemophilus influenzae|
A41.4||Sepsa, zapricinena anaerobnou bakteriou|
A41.51||Sepsa, zapricinena escherichia coli|
A41.52||Sepsa, zapricinena pseudomonadou|
A41.58||Sepsa, zapricinena inou gramnegativnou bakteriou|
A41.8||Ina sepsa, blizsie urcena|
A41.9||Sepsa, blizsie neurcena|
A42.0||Plucna aktinomykoza|
A42.1||Brusna aktinomykoza|
A42.2||Cervikofacialna aktinomykoza|
A42.7||Aktinomykoticka sepsa|
A42.8||Ina forma aktinomykozy|
A42.9||Blizsie neurcena aktinomykoza|
A43.0||Plucna nokardioza|
A43.1||Kozna nokardioza|
A43.8||Ina forma nokardiozy|
A43.9||Blizsie neurcena nokardioza|
A44.0||Systemova bartoneloza|
A44.1||Kozna a mukokutanna bartoneloza|
A44.8||Ina forma bartonelozy|
A44.9||Blizsie neurcena bartoneloza|
A46||Eryzipel (erysipelas, ruza)|
A48.0||Plynova gangrena|
A48.1||Legioneloza s pneumoniou|
A48.2||Legioneloza bez pneumonie (Pontiacka horucka)|
A48.3||Syndrom toxickeho soku|
A48.4||Brazilska purpurova horucka|
A48.8||Ina blizsie urcena bakteriova choroba|
A49.0||Stafylokokova infekcia na blizsie neurcenom mieste|
A49.1||Streptokokova infekcia na blizsie neurcenom mieste|
A49.2||Infekcia haemophilus influenzae na blizsie neurcenom mieste|
A49.3||Mykoplazmova infekcia na blizsie neurcenom mieste|
A49.8||Ina bakteriova infekcia na blizsie neurcenom mieste|
A49.9||Bakteriova infekcia, blizsie neurcena|
A50.0||Vcasny vrodeny syfilis s priznakmi|
A50.1||Vcasny vrodeny syfilis, latentny|
A50.2||Blizsie neurceny vcasny vrodeny syfilis|
A50.3||Neskora vrodena syfiliticka okulopatia|
A50.4||Neskory vrodeny neurosyfilis (juvenilny neurosyfilis)|
A50.5||Iny neskory vrodeny syfilis s priznakmi|
A50.6||Neskory vrodeny syfilis, latentny|
A50.7||Neskory vrodeny syfilis, blizsie neurceny|
A50.9||Blizsie neurceny vrodeny syfilis|
A51.0||Primarny genitalny syfilis|
A51.1||Primarny analny syfilis|
A51.2||Primarny syfilis na inom mieste|
A51.3||Sekundarny syfilis koze a sliznic|
A51.4||Ina forma sekundarneho syfilisu|
A51.5||Latentny vcasny syfilis|
A51.9||Blizsie neurceny vcasny syfilis|
A52.0||Kardiovaskularny syfilis|
A52.1||Symptomaticky neurosyfilis|
A52.2||Neurosyfilis bez priznakov|
A52.3||Blizsie neurceny neurosyfilis|
A52.7||Ina forma neskoreho syfilisu s priznakmi|
A52.8||Latentny neskory syfilis|
A52.9||Blizsie neurceny neskory syfilis|
A53.0||Latentny syfilis, blizsie neurceny ako vcasny alebo neskory|
A53.9||Syfilis, blizsie neurceny|
A54.0||Gonokokova infekcia dolnych casti mocovopohlavnej sustavy bez abscesu uretrovych alebo predsienovych zliaz|
A54.1||Gonokokova infekcia dolnych casti mocovopohlavnej sustavy s abscesom uretrovych a predsienovych zliaz|
A54.2||Gonokokova pelveoperitonitida a ina gonokokova mocovopohlavna infekcia|
A54.3||Gonokokova infekcia oka|
A54.4||Gonokokova infekcia svalovo-kostrovej sustavy|
A54.5||Gonokokova faryngitida|
A54.6||Gonokokova infekcia anusu a rekta|
A54.8||Ina gonokokova infekcia|
A54.9||Blizsie neurcena gonokokova infekcia|
A55||Lymphogranuloma inguinale (lymphogranuloma venereum), zapricineny chlamydiou|
A56.0||Chlamydiova infekcia dolnych casti mocovopohlavnej sustavy|
A56.1||Chlamydiova infekcia panvovej pobrusnice a mocovopohlavnych ustrojov|
A56.2||Blizsie neurcena chlamydiova infekcia mocovopohlavnej sustavy|
A56.3||Chlamydiova infekcia anusu a rekta|
A56.4||Chlamydiova infekcia faryngu|
A56.8||Pohlavne prenosna chlamydiova infekcia na inych miestach|
A57||Makky vred (ulcus molle)|
A58||Granuloma venereum (inguinale)|
A59.0||Urogenitalna trichomonadoza|
A59.8||Trichomonadoza na inych miestach|
A59.9||Blizsie neurcena trichomonadoza|
A60.0||Infekcia genitalii a mocovopohlavnej sustavy herpetickym virusom|
A60.1||Infekcia perianalnej koze a rekta, zapricinena herpetickym virusom|
A60.9||Blizsie neurcena anogenitalna infekcia, zapricinena herpetickym virusom|
A63.0||Anogenitalne (venericke) bradavice|
A63.8||Ina prevazne pohlavne prenosna choroba, blizsie neurcena|
A64||Pohlavne prenosna choroba, blizsie neurcena|
A65||Nevenericky syfilis|
A66.0||Primarna lezia pri frambezii|
A66.1||Mnohopocetne papilomy a vlhka plaziva frambezia|
A66.2||Ine pociatocne lezie koze pri frambezii|
A66.3||Hyperkeratoza pri frambezii|
A66.4||Gumy a vredy pri frambezii|
A66.5||Gangoza|
A66.6||Kostne a klbove lezie pri frambezii|
A66.7||Ine prejavy frambezie|
A66.8||Latentna frambezia|
A66.9||Blizsie neurcena frambezia|
A67.0||Pinta, primarne lezie|
A67.1||Pinta, stredne pokrocile lezie|
A67.2||Pinta, neskore lezie|
A67.3||Pinta, zmiesane lezie|
A67.9||Blizsie neurcena pinta|
A68.0||Navratna horucka, prenasana vsami|
A68.1||Navratna horucka, prenasana kliestami|
A68.9||Blizsie neurcena navratna horucka|
A69.0||Nekrotizujuca ulcerozna stomatitida|
A69.1||Ina fusospirochetoza|
A69.2||Lymska choroba|
A69.8||Ina, blizsie neurcena infekcia, zapricinena spirochetami|
A69.9||Blizsie neurcena infekcia, zapricinena spirochetami|
A70||Infekcia, zapricinena chlamydia psittaci|
A71.0||Trachom, zaciatocne stadium|
A71.1||Trachom, aktivne stadium|
A71.9||Blizsie neurceny trachom|
A74.0||Chlamydiovy zapal spojoviek|
A74.8||Ina chlamydiova choroba|
A74.9||Blizsie neurcena chlamydiova infekcia|
A75.0||Skvrnity tyfus, prenasany vsami, zapricineny rickettsia prowazeki|
A75.1||Navratny skvrnity tyfus (Brillova choroba)|
A75.2||Skvrnity tyfus, zapricineny rickettsia typhi|
A75.3||Skvrnity tyfus, zapricineny rickettsia tsutsugamushi (rickettsia orientalis)|
A75.9||Blizsie neurceny skvrnity tyfus|
A77.0||Skvrnita horucka, zapricinena rickettsia rickettsii|
A77.1||Skvrnita horucka, zapricinena rickettsia conorii|
A77.2||Skvrnita horucka, zapricinena rickettsia siberica|
A77.3||Skvrnita horucka, zapricinena rickettsia australis|
A77.8||Ina skvrnita horucka|
A77.9||Blizsie neurcena skvrnita horucka|
A78||Q-horucka|
A79.0||Volynska (zakopova) horucka|
A79.1||Riketsiove kiahne, zapricinene rickettsia akari|
A79.8||Ina riketsioza, blizsie neurcena|
A79.9||Riketsioza, blizsie neurcena|
A80.0||Akutna paralyticka poliomyelitida spojena s ockovanim|
A80.1||Akutna paralyticka poliomyelitida, zapricinena importovanym divym virusom|
A80.2||Akutna paralyticka poliomyelitida, zapricinena domacim divym virusom|
A80.3||Ina a blizsie neurcena akutna paralyticka poliomyelitida|
A80.4||Akutna neparalyticka poliomyelitida|
A80.9||Blizsie neurcena akutna poliomyelitida|
A81.0||Creutzfeldtova-Jakobova choroba|
A81.1||Subakutna sklerotizujuca panencefalitida|
A81.2||Progresivna multifokalna leukoencefalopatia|
A81.8||Ina pomala virusova infekcia centralnej nervovej sustavy|
A81.9||Blizsie neurcena pomala virusova infekcia centralnej nervovej sustavy|
A82.0||Lesna besnota|
A82.1||Besnota, mestska forma|
A82.9||Blizsie neurcena besnota|
A83.0||Japonska encefalitida|
A83.1||Zapadna encefalitida koni|
A83.2||Vychodna encefalitida koni|
A83.3||Saintlouiska encefalitida|
A83.4||Australska encefalitida|
A83.5||Kalifornska encefalitida|
A83.6||Encefalitida, zapricinena virusom rocio|
A83.8||Ina virusova encefalitida, prenasana komarmi|
A83.9||Blizsie neurcena virusova encefalitida, prenasana komarmi|
A84.0||Kliestova encefalitida Dalekeho vychodu (ruska jarno-letna encefalitida)|
A84.1||Stredoeuropska kliestova encefalitida|
A84.8||Ina virusova encefalitida, prenasana kliestami|
A84.9||Blizsie neurcena virusova encefalitida, prenasana kliestami|
A85.0||Enterovirusova encefalitida (G05.1*)|
A85.1||Adenovirusova encefalitida (G05.1*)|
A85.2||Blizsie neurcena virusova encefalitida, prenasana clankonozcami|
A85.8||Ina, blizsie urcena virusova encefalitida|
A86||Blizsie neurcena virusova encefalitida|
A87.0||Enterovirusova meningitida (G02.0*)|
A87.1||Adenovirusova meningitida (G02.0*)|
A87.2||Lymfocytova choriomeningitida|
A87.8||Ina virusova meningitida|
A87.9||Blizsie neurcena virusova meningitida|
A88.0||Enterovirusova exantemova horucka (Bostonsky exantem)|
A88.1||Epidemicke vertigo (osial)|
A88.8||Ina, blizsie urcena virusova infekcia centralnej nervovej sustavy|
A89||Blizsie neurcena virusova infekcia centralnej nervovej sustavy|
A90||Horucka dengue (klasicka dengue)|
A91||Hemoragicka horucka dengue|
A92.0||Virusova choroba Chikungunya|
A92.1||Horucka O'nyong-nyong|
A92.2||Venezuelska horucka koni|
A92.3||Virusova infekcia Zapadneho Nilu|
A92.4||Riftska horucka|
A92.8||Ina, blizsie urcena virusova horucka, prenasana komarmi|
A92.9||Blizsie neurcena virusova horucka, prenasana komarmi|
A93.0||Choroba, zapricinena virusom oropouche|
A93.1||Horucka papataci (prenasana komarmi phlebotomus papatasi)|
A93.2||Koloradska kliestova horucka|
A93.8||Ina, virusova horucka, prenasana clankonozcami, blizsie urcena|
A94||Virusova horucka, prenasana clankonozcami, blizsie neurcena|
A95.0||Lesna zlta zimnica|
A95.1||Mestska zlta zimnica|
A95.9||Blizsie neurcena zlta zimnica|
A96.0||Juninska hemoragicka horucka|
A96.1||Hemoragicka horucka, zapricinena virusom machupo|
A96.2||Horucka Lassa|
A96.8||Ina arenavirusova hemoragicka horucka|
A96.9||Blizsie neurcena arenavirusova hemoragicka horucka|
A98.0||Krymsko-konzska hemoragicka horucka|
A98.1||Omska hemoragicka horucka|
A98.2||Horucka Kyasanurskeho lesa|
A98.3||Choroba, zapricinena marburskym virusom|
A98.4||Choroba, zapricinena virusom ebola|
A98.5||Hemoragicka horucka s renalnym syndromom|
A98.8||Ina, blizsie urcena virusova hemoragicka horucka|
A99||Blizsie neurcena virusova hemoragicka horucka|
B00.0||Herpeticky ekzem (Kaposiho)|
B00.1||Herpeticka vezikularna dermatitida|
B00.2||Herpeticka gingivostomatitida a tonzilofaryngitida|
B00.3||Herpeticka meningitida (G02.0*)|
B00.4||Herpeticka encefalitida (G05.1*)|
B00.5||Ocna infekcia, zapricinena herpetickym virusom|
B00.7||Diseminovana herpeticka choroba|
B00.8||Ina forma herpetickej infekcie|
B00.9||Herpeticka infekcia, blizsie neurcena|
B01.0||Varicelova meningitida (G02.0*)|
B01.1||Varicelova encefalitida (G05.1*)|
B01.2||Varicelovy zapal pluc (J17.1*)|
B01.8||Varicela s inymi komplikaciami|
B01.9||Varicela bez komplikacii|
B02.0||Zosterova encefalitida (G05.1*)|
B02.1||Zosterova meningitida (G02.0*)|
B02.2||Zoster s inym postihnutim nervovej sustavy|
B02.3||Zosterova choroba oka|
B02.7||Diseminovany zoster|
B02.8||Zoster s inymi komplikaciami|
B02.9||Zoster bez komplikacii|
B03||Kiahne (variola)|
B04||Opicie kiahne|
B05.0||Osypky, komplikovane encefalitidou (G05.1*)|
B05.1||Osypky, komplikovane meningitidou (G05.1*)|
B05.2||Osypky, komplikovane pneumoniou (J17.1*)|
B05.3||Osypky, komplikovane zapalom stredneho ucha (H67.1*)|
B05.4||Osypky s crevnymi komplikaciami|
B05.8||Osypky s inymi komplikaciami|
B05.9||Osypky bez komplikacii|
B06.0||Ruzienka s nervovymi komplikaciami|
B06.8||Ruzienka s inymi komplikaciami|
B06.9||Ruzienka bez komplikacii|
B07||Virusove bradavice (verrucae)|
B08.0||Ine ortopoxvirusove infekcie|
B08.1||Kontagiozne bradavice (Molluscum contagiosum)|
B08.2||Exanthema subitum (siesta choroba)|
B08.3||Erythema infectiosum (piata choroba)|
B08.4||Enterovirusova vezikularna stomatitida s exantemom|
B08.5||Enterovirusova vezikularna faryngitida (herpangina)|
B08.8||Ina virusova infekcia charakterizovana postihnutim koze a sliznic, blizsie urcena|
B09||Virusova infekcia charakterizovana postihnutim koze a sliznic, blizsie neurcena|
B15.0||Hepatitida A s pecenovou komou|
B15.9||Hepatitida A bez pecenovej komy|
B16.0||Akutna hepatitida B s koinfekciou alebo superinfekciou virusom hepatitidy D s pecenovou komou|
B16.1||Akutna hepatitida B s koinfekciou alebo superinfekciou virusom hepatitidy D bez pecenovej komy|
B16.2||Akutna hepatitida B bez koinfekcie alebo superinfekcie virusom hepatitidy D s pecenovou komou|
B16.9||Akutna hepatitida B bez koinfekcie alebo superinfekcie virusom hepatitidy D bez pecenovej komy|
B17.0||Akutna superinfekcia virusom hepatitidy D nosica virusu hepatitidy B|
B17.1||Akutna hepatitida C|
B17.2||Akutna hepatitida E|
B17.8||Ina akutna virusova hepatitida, blizsie urcena|
B17.9||Akutna virusova hepatitida, blizsie neurcena|
B18.0||Chronicka hepatitida B s virusom hepatitidy D|
B18.1||Chronicka hepatitida B bez virusu hepatitidy D|
B18.2||Chronicka hepatitida C|
B18.8||Ina chronicka virusova hepatitida|
B18.9||Chronicka virusova hepatitida, blizsie neurcena|
B19.0||Virusova hepatitida s pecenovou komou, blizsie neurcena|
B19.9||Virusova hepatitida bez pecenovej komy, blizsie neurcena|
B20.0||Choroba HIV vyustujuca do mykobakterialnej infekcie|
B20.1||Choroba HIV vyustujuca do inych bakterialnych infekcii|
B20.2||Choroba HIV vyustujuca do cytomegalovirusovej choroby|
B20.3||Choroba HIV vyustujuca do inych virusovych infekcii|
B20.4||Choroba HIV vyustujuca do kandidozy|
B20.5||Choroba HIV vyustujuca do inych mykoz|
B20.6||Choroba HIV vyustujuca do pneumocystovej pneumonie|
B20.7||Choroba HIV vyustujuca do viacpocetnych infekcii|
B20.8||Choroba HIV vyustujuca do inych infekcnych a parazitarnych chorob|
B20.9||Choroba HIV vyustujuca do infekcnych alebo parazitarnych chorob blizsie neurcenych|
B21.0||Choroba HIV vyustujuca do Kaposiho sarkomu|
B21.1||Choroba HIV vyustujuca do Burkittovho lymfomu|
B21.2||Choroba HIV vyustujuca do inych typov nehodgkinovho lymfomu|
B21.3||Choroba HIV vyustujuca do inych zhubnych nadorov lymfatickeho krvotvorneho a pribuzneho tkaniva|
B21.7||Choroba HIV vyustujuca do viacpocetnych zhubnych nadorov|
B21.8||Choroba HIV vyustujuca do inych zhubnych nadorov|
B21.9||Choroba HIV vyustujuca do zhubnych nadorov blizsie neurcenych|
B22.0||Choroba HIV vyustujuca do encefalopatie|
B22.1||Choroba HIV vyustujuca do lymfoidnej intersticialnej pneumonitidy|
B22.2||Choroba HIV vyustujuca do syndromu celkoveho upadania|
B22.7||Choroba HIV vyustujuca do rozlicnych chorob zatriedenych inde|
B23.0||Syndrom akutnej infekcie HIV|
B23.1||Choroba HIV vyustujuca do (pretrvavajucej) generalizovanej lymfadenopatie|
B23.2||Choroba HIV vyustujuca do hematologickych a imunologickych abnormalit nezatriedenych inde|
B23.8||Choroba HIV veduca k inym blizsie urcenym stavom|
B24||Choroba HIV, blizsie neurcena|
B25.0||Cytomegalovirusova pneumonitida (pneumonia) (J17.1*)|
B25.1||Cytomegalovirusova hepatitida (K77.0*)|
B25.2||Cytomegalovirusova pankreatitida K87.1*)|
B25.80||Cytomegalovirusova infekcia traviacej trubice|
B25.88||Ina cytomegalovirusova choroba|
B25.9||Cytomegalovirusova choroba, blizsie neurcena|
B26.0||Parotiticka orchitida (N51.1*)|
B26.1||Parotiticka meningitida (G02.0*)|
B26.2||Parotiticka encefalitida (G05.1*)|
B26.3||Parotiticka pankreatitida (K87.1*)|
B26.8||Parotitida s inymi komplikaciami|
B26.9||Parotitida bez komplikacii|
B27.0||Mononukleoza, zapricinena gama-virusom herpes simplex|
B27.1||Cytomegalovirusova mononukleoza|
B27.8||Ina infekcna mononukleoza|
B27.9||Infekcna mononukleoza, blizsie neurcena|
B30.0||Keratokonjunktivitida, zapricinena adenovirusom (H19.2*)|
B30.1||Konjunktivitida, zapricinena adenovirusom (H13.1*)|
B30.2||Virusova faryngokonjunktivitida|
B30.3||Akutna epidemicka hemoragicka konjunktivitida (enterovirusova) (H13.1*)|
B30.8||Ina virusova konjunktivitida (H13.1*)|
B30.9||Virusova konjunktivitida, blizsie neurcena|
B33.0||Epidemicka pleurodynia|
B33.1||Choroba Ross River|
B33.2||Virusova karditida|
B33.3||Retrovirusova infekcia, nezatriedena inde|
B33.4||Hantavirusovy pulmonalny (kardiopulmonalny) syndrom (J17.1*)|
B33.8||Ina virusova choroba, blizsie urcena|
B34.0||Adenovirusova infekcia na neurcenom mieste|
B34.1||Enterovirusova infekcia na neurcenom mieste|
B34.2||Koronavirusova infekcia na neurcenom mieste|
B34.3||Parvovirusova infekcia na neurcenom mieste|
B34.4||Papovavirusova infekcia na neurcenom mieste|
B34.8||Ina virusova infekcia na neurcenom mieste|
B34.9||Virusova infekcia, blizsie neurcena|
B35.0||Tinea barbae a tinea capitis|
B35.1||Tinea unguium (nechtov)|
B35.2||Tinea manuum|
B35.3||Tinea pedis|
B35.4||Tinea corporis|
B35.5||Tinea imbricata|
B35.6||Tinea cruris|
B35.8||Ina dermatofytoza|
B35.9||Dermatofytoza, blizsie neurcena|
B36.0||Pityriasis versicolor|
B36.1||Tinea nigra|
B36.2||Biela piedra (piedra alba)|
B36.3||Cierna piedra (piedra nigra)|
B36.8||Ina povrchova mykoza, blizsie urcena|
B36.9||Povrchova mykoza, blizsie neurcena|
B37.0||Kandidova stomatitida|
B37.1||Plucna kandidoza|
B37.2||Kandidoza koze a nechtov|
B37.3||Kandidoza vulvy a vaginy (N77.1*)|
B37.4||Kandidoza inych casti mocovopohlavneho systemu|
B37.5||Kandidova meningitida (G02.1*)|
